Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2016/17,2016-08-05,Fulham,Newcastle,1,0,H,1.0,0.0,H,5.0,8.0,3.0,2.0,12.0,11.0,2.0,2.0,1.0,3.0,0.0,0.0
2016/17,2016-08-06,Birmingham,Cardiff,0,0,D,0.0,0.0,D,14.0,13.0,3.0,5.0,12.0,16.0,5.0,5.0,1.0,0.0,0.0,0.0
2016/17,2016-08-06,Blackburn,Norwich,1,4,A,0.0,3.0,A,5.0,12.0,2.0,7.0,9.0,16.0,7.0,3.0,1.0,2.0,0.0,0.0
2016/17,2016-08-06,Bristol City,Wigan,2,1,H,0.0,1.0,A,24.0,11.0,6.0,3.0,7.0,13.0,10.0,2.0,1.0,4.0,0.0,0.0
2016/17,2016-08-06,Derby,Brighton,0,0,D,0.0,0.0,D,12.0,16.0,4.0,5.0,13.0,17.0,1.0,7.0,2.0,2.0,0.0,0.0
2016/17,2016-08-06,Huddersfield,Brentford,2,1,H,0.0,0.0,D,16.0,8.0,7.0,4.0,13.0,9.0,5.0,2.0,1.0,1.0,0.0,0.0
2016/17,2016-08-06,Ipswich,Barnsley,4,2,H,0.0,0.0,D,9.0,14.0,7.0,5.0,17.0,11.0,5.0,4.0,2.0,3.0,0.0,0.0
2016/17,2016-08-06,Nott'm Forest,Burton,4,3,H,2.0,2.0,D,14.0,16.0,4.0,3.0,13.0,8.0,8.0,6.0,2.0,2.0,0.0,0.0
2016/17,2016-08-06,Reading,Preston,1,0,H,1.0,0.0,H,15.0,7.0,5.0,3.0,13.0,16.0,6.0,1.0,2.0,3.0,0.0,0.0
2016/17,2016-08-06,Rotherham,Wolves,2,2,D,2.0,1.0,H,6.0,9.0,3.0,5.0,11.0,8.0,3.0,6.0,2.0,1.0,0.0,1.0
2016/17,2016-08-07,QPR,Leeds,3,0,H,1.0,0.0,H,15.0,8.0,8.0,0.0,8.0,13.0,5.0,5.0,2.0,1.0,0.0,0.0
2016/17,2016-08-07,Sheffield Weds,Aston Villa,1,0,H,0.0,0.0,D,17.0,12.0,6.0,2.0,14.0,9.0,12.0,9.0,3.0,3.0,0.0,0.0
2016/17,2016-08-12,Brighton,Nott'm Forest,3,0,H,1.0,0.0,H,17.0,14.0,7.0,2.0,19.0,15.0,6.0,7.0,3.0,4.0,0.0,0.0
2016/17,2016-08-13,Aston Villa,Rotherham,3,0,H,2.0,0.0,H,16.0,9.0,7.0,1.0,17.0,13.0,4.0,6.0,4.0,2.0,0.0,0.0
2016/17,2016-08-13,Barnsley,Derby,2,0,H,1.0,0.0,H,9.0,16.0,4.0,4.0,17.0,12.0,8.0,8.0,3.0,4.0,0.0,0.0
2016/17,2016-08-13,Brentford,Ipswich,2,0,H,0.0,0.0,D,16.0,15.0,6.0,3.0,11.0,13.0,4.0,6.0,0.0,1.0,0.0,0.0
2016/17,2016-08-13,Burton,Bristol City,1,2,A,0.0,1.0,A,17.0,12.0,5.0,4.0,10.0,17.0,7.0,8.0,1.0,1.0,0.0,0.0
